epochs,train_loss,train_cost,val_cost
0,-0.80500764,13.475916,12.1322565
1,3.325689,11.858979,11.522048
2,-0.16025105,11.490006,11.344786
3,-0.7216274,11.357511,11.290281
4,-0.44242474,11.286379,11.227264
5,-0.6352624,11.247512,11.157071
6,-0.87463576,11.210078,11.137449
7,-0.7534708,11.181827,11.108155
8,-0.8577007,11.1669235,11.109632
9,-0.67049104,11.14648,11.137701
10,-0.47253114,11.123374,11.087215
11,-0.5207164,11.109697,11.04291
12,-0.7168545,11.0924225,11.049972
13,-0.58498436,11.078313,11.059519
14,-0.46021664,11.061392,11.013976
